BusStopCode,RoadName,Description,FullName,Latitude,Longitude
10009,Bt Merah Ctrl,Bt Merah Int,10009 - Bt Merah Int,1.2821,103.81722
10011,New Bridge Rd,Bef Neil Rd,10011 - Bef Neil Rd,1.27774,103.8375
10017,Eu Tong Sen St,Aft Hosp Dr,10017 - Aft Hosp Dr,1.27832,103.83763
10018,Eu Tong Sen St,Outram Pk Stn Exit 6/SGH,10018 - Outram Pk Stn Exit 6/SGH,1.27901,103.8386
10021,Neil Rd,Blk 3,10021 - Blk 3,1.27745,103.83839
10041,Kg Bahru Rd,Bef Kampong Bahru Ter,10041 - Bef Kampong Bahru Ter,1.27606,103.83519
10049,Kg Bahru Rd,Opp Kampong Bahru Ter,10049 - Opp Kampong Bahru Ter,1.27623,103.83484
10051,Jln Bt Merah,Blk 149,10051 - Blk 149,1.27741,103.83214
10059,Jln Bt Merah,Opp Blk 149,10059 - Opp Blk 149,1.2774,103.83275
10061,Jln Bt Merah,Blk 140,10061 - Blk 140,1.2786,103.82949
10069,Jln Bt Merah,Opp Blk 140,10069 - Opp Blk 140,1.27855,103.83008
10071,Jln Bt Merah,Blk 111,10071 - Blk 111,1.28045,103.82639
10079,Jln Bt Merah,Blk 201,10079 - Blk 201,1.2804,103.82709
10081,Jln Bt Merah,Opp Blk 120,10081 - Opp Blk 120,1.28228,103.82242
10089,Jln Bt Merah,Blk 119,10089 - Blk 119,1.28292,103.82166
10091,Jln Bt Merah,Bt Merah Town Ctr,10091 - Bt Merah Town Ctr,1.28394,103.81784
10099,Jln Bt Merah,Opp Bt Merah Town Ctr,10099 - Opp Bt Merah Town Ctr,1.28421,103.81766
10101,Jln Bt Merah,Opp Bt Merah Sec Sch,10101 - Opp Bt Merah Sec Sch,1.28506,103.81378
10109,Jln Bt Merah,Bt Merah Sec Sch,10109 - Bt Merah Sec Sch,1.28535,103.81371
10111,Jln Bt Merah,Opp Blk 28,10111 - Opp Blk 28,1.28593,103.80935
10119,Jln Bt Merah,Opp Pacific Tech Ctr,10119 - Opp Pacific Tech Ctr,1.28598,103.81123
10121,Kim Tian Rd,Blk 126 CP,10121 - Blk 126 CP,1.2826,103.82891
10129,Kim Tian Rd,Blk 121,10129 - Blk 121,1.28232,103.82857
10131,Jln Bt Merah,Opp Blk 2,10131 - Opp Blk 2,1.28619,103.80687
10139,Jln Bt Merah,Blk 1,10139 - Blk 1,1.28635,103.8081
10141,Tiong Bahru Rd,Blk 18,10141 - Blk 18,1.28584,103.83238
10149,Tiong Bahru Rd,Blk 1,10149 - Blk 1,1.28607,103.83283
10151,Tiong Bahru Rd,Ctrl Green Condo,10151 - Ctrl Green Condo,1.28572,103.82853
10161,Tiong Bahru Rd,Opp Tiong Bahru Stn/Plaza,10161 - Opp Tiong Bahru Stn/Plaza,1.28593,103.82669
10169,Tiong Bahru Rd,Tiong Bahru Stn/Plaza,10169 - Tiong Bahru Stn/Plaza,1.286,103.82748
10171,Tiong Bahru Rd,Opp Tiong Bahru Pk,10171 - Opp Tiong Bahru Pk,1.28737,103.82346
10179,Tiong Bahru Rd,Tiong Bahru Pk,10179 - Tiong Bahru Pk,1.28722,103.82396
10181,Tiong Bahru Rd,Bef Ar-Rabitah Mque,10181 - Bef Ar-Rabitah Mque,1.2885,103.8211
10189,Tiong Bahru Rd,Blk 104A CP,10189 - Blk 104A CP,1.28859,103.82183
10191,Tiong Bahru Rd,Blk 78,10191 - Blk 78,1.2886,103.81903
10199,Tiong Bahru Rd,Delta Swim Cplx,10199 - Delta Swim Cplx,1.28876,103.81937
10201,Tiong Bahru Rd,Opp Redhill Stn,10201 - Opp Redhill Stn,1.28928,103.81663
10209,Tiong Bahru Rd,Redhill Stn,10209 - Redhill Stn,1.28955,103.81673
10211,Leng Kee Rd,BMW Eurokars Auto,10211 - BMW Eurokars Auto,1.29075,103.81144
10219,Leng Kee Rd,Skoda S'pore/Volkswagen Grp,10219 - Skoda S'pore/Volkswagen Grp,1.29084,103.81181
10221,Ganges Ave,Ganges Ctr,10221 - Ganges Ctr,1.29033,103.83112
10229,Ganges Ave,Opp Harvest Mansions,10229 - Opp Harvest Mansions,1.29052,103.83178
10231,Ganges Ave,Blk 51 CP,10231 - Blk 51 CP,1.29042,103.82788
10239,Ganges Ave,Blk 79,10239 - Blk 79,1.29061,103.82865
10241,Alexandra Rd,Gan Eng Seng Sec Sch,10241 - Gan Eng Seng Sec Sch,1.29062,103.82362
