MRTStopCode,MRTStopName,Type,FullName,Latitude,Longitude
EW7,EUNOS MRT STATION,MRT,Eunos (EW7),1.3197789515536371,103.90325246673828
EW25,CHINESE GARDEN MRT STATION,MRT,Chinese Garden (EW25),1.3423528208747444,103.73259673807335
NS14,KHATIB MRT STATION,MRT,Khatib (NS14),1.4173833701535468,103.83297990773832
NS7,KRANJI MRT STATION,MRT,Kranji (NS7),1.4251776987704483,103.7621654109002
EW18,REDHILL MRT STATION,MRT,Redhill (EW18),1.2895627264024532,103.81681667014902
NS5,YEW TEE MRT STATION,MRT,Yew Tee (NS5),1.3975350177934125,103.74740511413792
EW28,PIONEER MRT STATION,MRT,Pioneer (EW28),1.3375868822047494,103.69732151293609
EW20,COMMONWEALTH MRT STATION,MRT,Commonwealth (EW20),1.3024387353271702,103.79830451562896
EW8/CC9,PAYA LEBAR MRT STATION,MRT,Paya Lebar (EW8 / CC9),1.318112082295278,103.8930603552516
EW3,SIMEI MRT STATION,MRT,Simei (EW3),1.343202894930727,103.95337169417571
EW2/DT32,TAMPINES MRT STATION,MRT,Tampines (EW2 / DT32),1.3533013563424343,103.945148688649
NS10,ADMIRALTY MRT STATION,MRT,Admiralty (NS10),1.4405850010854109,103.80098800081232
NS13,YISHUN MRT STATION,MRT,Yishun (NS13),1.4294430808108003,103.8350050461946
EW1,PASIR RIS MRT STATION,MRT,Pasir Ris (EW1),1.37298377357949,103.9492681182454
EW23,CLEMENTI MRT STATION,MRT,Clementi (EW23),1.3149544924235943,103.76529887432638
EW9,ALJUNIED MRT STATION,MRT,Aljunied (EW9),1.316432611657838,103.88290604466044
NS16,ANG MO KIO MRT STATION,MRT,Ang Mo Kio (NS16),1.3693473037885635,103.84993299388984
CG1/DT35,EXPO MRT STATION,MRT,Expo (CG1 / DT35),1.3345497778378117,103.96154821070796
NS4/BP1,CHOA CHU KANG MRT STATION,MRT,Choa Chu Kang (NS4 / BP1),1.3853616928288095,103.74434094618154
EW24/NS1,JURONG EAST MRT STATION,MRT,Jurong East (EW24 / NS1),1.3331526198940653,103.7422865440047
EW19,QUEENSTOWN MRT STATION,MRT,Queenstown (EW19),1.2948609327949876,103.805884333892
